,Format,Mode,ResX,ResY,Resolution
am70_5p0_f_e_1566c.png,PNG,RGB,2048,2044,4186112
am70_2p5_f_1620c.png,PNG,RGB,2048,2044,4186112
am70_5p0_f_e_1580c.png,PNG,RGB,2048,2044,4186112
am70_5p0_f_e_1565c.png,PNG,RGB,2048,2044,4186112
am70_5p0_f_1558c.png,PNG,RGB,2048,2044,4186112
am70_2p5_f_1607c.png,PNG,RGB,2048,2044,4186112
am70_5p0_f_e_1574c.png,PNG,RGB,2048,2044,4186112
am70_5p0_f_e_1576c.png,PNG,RGB,2048,2044,4186112
am70_5p0_f_1559c.png,PNG,RGB,2048,2044,4186112
am70_5p0_f_1555c.png,PNG,RGB,2048,2044,4186112
am70_2p5_f_1594c.png,PNG,RGB,2048,2044,4186112
am70_2p5_f_1590c.png,PNG,RGB,2048,2044,4186112
am70_5p0_f_e_1582c.png,PNG,RGB,2048,2044,4186112
am70_5p0_f_e_1578c.png,PNG,RGB,2048,2044,4186112
am70_5p0_f_1553c.png,PNG,RGB,2048,2044,4186112
am70_5p0_f_e_1587c.png,PNG,RGB,2048,2044,4186112
am70_5p0_f_e_1589c.png,PNG,RGB,2048,2044,4186112
am70_2p5_f_1599c.png,PNG,RGB,2048,2044,4186112
am70_2p5_f_1608c.png,PNG,RGB,2048,2044,4186112
am70_5p0_f_e_1570c.png,PNG,RGB,2048,2044,4186112
am70_5p0_f_e_1585c.png,PNG,RGB,2048,2044,4186112
am70_2p5_f_1604c.png,PNG,RGB,2048,2044,4186112
am70_5p0_f_e_1575c.png,PNG,RGB,2048,2044,4186112
am70_2p5_f_1610c.png,PNG,RGB,2048,2044,4186112
am70_2p5_f_1595c.png,PNG,RGB,2048,2044,4186112
am60_2p5_1675c.png,PNG,RGB,2048,2044,4186112
am60_2p5_1667c.png,PNG,RGB,2048,2044,4186112
am60_5p0_1638c.png,PNG,RGB,2048,2044,4186112
am60_5p0_edge_1627c.png,PNG,RGB,2048,2044,4186112
am60_2p5_1688c.png,PNG,RGB,2048,2044,4186112
am60_5p0_edge_1634c.png,PNG,RGB,2048,2044,4186112
am60_2p5_1685c.png,PNG,RGB,2048,2044,4186112
am60_5p0_1644c.png,PNG,RGB,2048,2044,4186112
am60_2p5_1686c.png,PNG,RGB,2048,2044,4186112
am60_2p5_1683c.png,PNG,RGB,2048,2044,4186112
am60_5p0_1656c.png,PNG,RGB,2048,2044,4186112
am60_2p5_1666c.png,PNG,RGB,2048,2044,4186112
am60_5p0_1637c.png,PNG,RGB,2048,2044,4186112
am60_5p0_edge_1629c.png,PNG,RGB,2048,2044,4186112
am60_5p0_1649c.png,PNG,RGB,2048,2044,4186112
am60_5p0_1640c.png,PNG,RGB,2048,2044,4186112
am60_2p5_1670c.png,PNG,RGB,2048,2044,4186112
am60_2p5_1678c.png,PNG,RGB,2048,2044,4186112
am60_5p0_1650c.png,PNG,RGB,2048,2044,4186112
am60_5p0_edge_1633c.png,PNG,RGB,2048,2044,4186112
am60_2p5_1690c.png,PNG,RGB,2048,2044,4186112
am60_2p5_1689c.png,PNG,RGB,2048,2044,4186112
am60_5p0_1641c.png,PNG,RGB,2048,2044,4186112
am60_5p0_edge_1625c.png,PNG,RGB,2048,2044,4186112
am60_2p5_1668c.png,PNG,RGB,2048,2044,4186112
am60_2p5_1671c.png,PNG,RGB,2048,2044,4186112
am60_5p0_edge_1632c.png,PNG,RGB,2048,2044,4186112
am60_2p5_1660c.png,PNG,RGB,2048,2044,4186112
am60_5p0_edge_1626c.png,PNG,RGB,2048,2044,4186112
am60_5p0_1651c.png,PNG,RGB,2048,2044,4186112
am60_2p5_1673c.png,PNG,RGB,2048,2044,4186112
am60_5p0_edge_1623c.png,PNG,RGB,2048,2044,4186112
am60_5p0_edge_1628c.png,PNG,RGB,2048,2044,4186112
am60_2p5_1687c.png,PNG,RGB,2048,2044,4186112
am60_2p5_1669c.png,PNG,RGB,2048,2044,4186112
am60_2p5_1676c.png,PNG,RGB,2048,2044,4186112
am60_5p0_1645c.png,PNG,RGB,2048,2044,4186112
am60_5p0_1653c.png,PNG,RGB,2048,2044,4186112
am60_2p5_1681c.png,PNG,RGB,2048,2044,4186112
am60_2p5_1672c.png,PNG,RGB,2048,2044,4186112
am60_5p0_1647c.png,PNG,RGB,2048,2044,4186112
am60_5p0_1652c.png,PNG,RGB,2048,2044,4186112
am60_2p5_1665c.png,PNG,RGB,2048,2044,4186112
am60_5p0_edge_1635c.png,PNG,RGB,2048,2044,4186112
am60_5p0_edge_1624c.png,PNG,RGB,2048,2044,4186112
am60_5p0_1654c.png,PNG,RGB,2048,2044,4186112
am60_2p5_1684c.png,PNG,RGB,2048,2044,4186112
am60_5p0_1655c.png,PNG,RGB,2048,2042,4182016
am60_5p0_1648c.png,PNG,RGB,2048,2042,4182016
am60_2p5_1663c.png,PNG,RGB,2048,2042,4182016
am60_2p5_1664c.png,PNG,RGB,2048,2042,4182016
am60_5p0_1639c.png,PNG,RGB,2048,2042,4182016
am60_2p5_1662c.png,PNG,RGB,2048,2042,4182016
am60_2p5_1659c.png,PNG,RGB,2048,2042,4182016
am60_2p5_1677c.png,PNG,RGB,2048,2042,4182016
am60_5p0_1642c.png,PNG,RGB,2048,2042,4182016
am60_2p5_1658c.png,PNG,RGB,2048,2042,4182016
am60_2p5_1674c.png,PNG,RGB,2048,2042,4182016
am60_5p0_1646c.png,PNG,RGB,2048,2042,4182016
am60_5p0_edge_1630c.png,PNG,RGB,2048,2042,4182016
am60_2p5_1680c.png,PNG,RGB,2048,2042,4182016
am60_2p5_1661c.png,PNG,RGB,2048,2042,4182016
am60_5p0_1636c.png,PNG,RGB,2048,2042,4182016
am60_2p5_1682c.png,PNG,RGB,2048,2042,4182016
am60_5p0_1643c.png,PNG,RGB,2048,2042,4182016
am60_5p0_1657c.png,PNG,RGB,2048,2042,4182016
am60_5p0_edge_1631c.png,PNG,RGB,2048,2042,4182016
Billet_Face1-250xc.png,PNG,RGB,2048,2044,4186112
Billet_Face1-500x-Ac.png,PNG,RGB,2048,2044,4186112
Billet_Face1-500x-Bc.png,PNG,RGB,2048,2044,4186112
Billet_Face1-500x-Cc.png,PNG,RGB,2048,2044,4186112
Billet_Face1-500x-Dc.png,PNG,RGB,2048,2044,4186112
Billet_Face1-500x-Ec.png,PNG,RGB,2048,2044,4186112
Billet_Face1-1000xc.png,PNG,RGB,2048,2044,4186112
Billet_Face1-2000xc.png,PNG,RGB,2048,2044,4186112
Billet_Face2-250xc.png,PNG,RGB,2048,2044,4186112
Billet_Face2-500x-Ac.png,PNG,RGB,2048,2044,4186112
Billet_Face2-500x-Bc.png,PNG,RGB,2048,2044,4186112
Billet_Face2-500x-Cc.png,PNG,RGB,2048,2044,4186112
Billet_Face2-500x-Dc.png,PNG,RGB,2048,2044,4186112
