Source,Alloy Name,Expected,Average Prediction
ASM Dataset,N07713,690.0,475.09935897435895
ASM Dataset,AZ91A F,160.0,285.90625
ASM Dataset,R58010 STA,1100.0,617.140350877193
ASM Dataset,R56400 STA,1100.0,844.29375
ASM Dataset,430 Annealed,260.0,269.4962121212121
ASM Dataset,TRIP 780 Cold Rolled,500.0,311.33
ASM Dataset,R58010 ST,830.0,449.66911764705884
ASM Dataset,C63200 TQ50,350.0,352.7876344086022
ASM Dataset,AZ91C F,83.0,112.40789473684211
ASM Dataset,SAF 2205 Annealed,500.0,495.96794871794873
ASM Dataset,N08800 A,210.0,195.7890625
ASM Dataset,Elgiloy A,510.0,545.4329268292682
ASM Dataset,ASTM A148 Normalized,460.0,397.9183673469388
ASM Dataset,Ti-10-2-3 Sample 1,1207.0,1142.0064102564102
ASM Dataset,ASTM A106 grade B,240.0,283.655
ASM Dataset,ASTM A517 Grade B QT,655.0,634.753164556962
ASM Dataset,201 Stainless Steel Annealed,301.0,325.8544303797468
ASM Dataset,356.0 T6,152.0,165.4952380952381
ASM Dataset,C85200,95.0,205.36464968152868
ASM Dataset,4130 Normalized,435.0,370.0113636363636
