Source,Alloy Name,Expected,Average Prediction
ASM Dataset,ASTM A148 Normalized,460.0,392.09574468085106
ASM Dataset,R50700 A,590.0,490.6
ASM Dataset,R56210 Hrolled,760.0,891.4114583333334
ASM Dataset,316L Annealed,190.0,255.90091463414635
ASM Dataset,R56401 A,790.0,620.4921875
ASM Dataset,C95400 as Cast,240.0,241.9
ASM Dataset,AZ91C T6,130.0,326.9102564102564
ASM Dataset,ZK60A T5 Forged,215.0,216.53488372093022
ASM Dataset,AZ80A T5,230.0,289.781914893617
Magnesium Dataset,AM60,120.0,116.50338491295938
ASM Dataset,8740 Annealed,380.0,450.02777777777777
ASM Dataset,C93700,115.0,162.61949685534591
ASM Dataset,C11000 A,69.0,168.28869047619048
ASM Dataset,201 Stainless Steel Annealed,301.0,330.26
ASM Dataset,2014 T4,290.0,265.17528735632186
ASM Dataset,309 Annealed,275.0,256.26428571428573
ASM Dataset,ASTM A516 Grade 70,260.0,315.64285714285717
ASM Dataset,319.0 Solution aged,185.0,222.54861111111111
