Source,Image Name,Expected,Average Prediction,MAPE,,Worst,,,,Best,,,
Magnesium Dataset,am70_2p5_f_1601,127,129.75,2.11946050096339,,,,,,,,,
Magnesium Dataset,am60_2p5_1687,120,117.5,2.12765957446808,,,,,,,,,
Magnesium Dataset,am40_2p5_1760,107,109.35,2.1490626428898,,,,,,,,,
Magnesium Dataset,am50_2p5_1822,109,106.6875,2.16754540128881,,,,,,,,,
Magnesium Dataset,am70_2p5_f_1593,127,124.291666666667,2.17901441501843,,,,,,,,,
Magnesium Dataset,am40_5p0_1699,107,104.714285714286,2.18281036834926,,,,,,,,,
Magnesium Dataset,am60_2p5_1675,120,117.416666666667,2.20014194464159,,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1566,127,124.25,2.21327967806841,,,,,,,,,
Magnesium Dataset,am60_5p0_edge_1630,120,122.75,2.24032586558045,,,,,,,,,
Magnesium Dataset,am50_2p5_1804,109,111.5,2.24215246636771,,,,,,,,,
Magnesium Dataset,am70_2p5_f_1613,127,129.916666666667,2.24502886465682,,,,,,,,,
Magnesium Dataset,am60_2p5_1674,120,117.333333333333,2.27272727272728,,,,,,,,,
Magnesium Dataset,am60_2p5_1689,120,117.3125,2.29088971763452,,,,,,,,,
Magnesium Dataset,am50_2p5_1807,109,111.583333333333,2.31516056758775,,,,,,,,,
Magnesium Dataset,am40_5p0_1720,107,104.5,2.39234449760766,,,,,,,,,
Magnesium Dataset,am70_2p5_f_1603,127,130.125,2.40153698366955,,,,,,,,,
Magnesium Dataset,am40_2p5_1724,107,104.4375,2.45362058647516,,,,,,,,,
Magnesium Dataset,am50_5p0_1784,109,106.35,2.49177244945934,,,,,,,,,
Magnesium Dataset,am40_2p5_1742,107,109.75,2.50569476082005,,,,,,,,,
Magnesium Dataset,am50_5p0_1796,109,111.805555555556,2.50931677018634,,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1585,127,123.875,2.52270433905146,,,,,,,,,
Magnesium Dataset,am40_5p0_1719,107,109.8125,2.56118383608423,,,,,,,,,
Magnesium Dataset,am70_2p5_f_1620,127,130.375,2.58868648130393,,,,,,,,,
Magnesium Dataset,am50_5p0_1785,109,111.9,2.59159964253799,,,,,,,,,
Magnesium Dataset,am60_5p0_1639,120,123.2,2.5974025974026,,,,,,,,,
Magnesium Dataset,am50_2p5_1801,109,106.225,2.61237938338433,,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1587,127,123.75,2.62626262626263,,,,,,,,,
Magnesium Dataset,am40_5p0_1692,107,109.9,2.63876251137398,,,,,,,,,
Magnesium Dataset,am70_2p5_f_1607,127,123.6875,2.67812026275897,,,,,,,,,
Magnesium Dataset,am60_5p0_edge_1632,120,116.85,2.69576379974327,,,,,,,,,
Magnesium Dataset,am50_5p0_1787,109,106.075,2.75748291303323,,,,,,,,,
Magnesium Dataset,am40_2p5_1741,107,110.041666666667,2.76410450586899,,,,,,,,,
Magnesium Dataset,am70_2p5_f_1614,127,123.583333333333,2.76466621712745,,,,,,,,,
Magnesium Dataset,am50_5p0_1800,109,106,2.83018867924528,,,,,,,,,
Magnesium Dataset,am70_2p5_f_1617,127,130.7,2.83091048201988,,,,,,,,,
Magnesium Dataset,am60_5p0_edge_1628,120,123.5,2.83400809716599,,,,,,,,,
Magnesium Dataset,am50_5p0_1782,109,112.25,2.89532293986637,,,,,,,,,
Magnesium Dataset,am70_5p0_f_e_1589,127,130.791666666667,2.89901242433895,,,,,,,,,
Magnesium Dataset,am60_2p5_1684,120,116.5625,2.94906166219839,,,,,,,,,
Magnesium Dataset,am70_2p5_f_1615,127,123.333333333333,2.97297297297298,,,,,,,,,
Magnesium Dataset,am40_2p5_1733,107,110.3,2.99184043517679,,,,,,,,,
Magnesium Dataset,am60_5p0_edge_1626,120,116.5,3.00429184549356,,,,,,,,,
Magnesium Dataset,am40_2p5_1768,107,110.45,3.12358533272974,,,,,,,,,
Magnesium Dataset,am40_5p0_1717,107,110.45,3.12358533272974,,,,,,,,,
Magnesium Dataset,am40_5p0_1691,107,110.5,3.16742081447964,,,,,,,,,
Magnesium Dataset,am50_5p0_1799,109,105.642857142857,3.17782285327925,,,,,,,,,
